State,Zipcode,Latitude,Longitude,Bedroom,Bathroom,Area,ConvertedLot,MarketEstimate,Price
AK,99507,61.136963,-149.78418,3,2.0,2358,0.32,499700,495000
AK,99507,61.131104,-149.83951,3,2.0,1704,0.1,423700,419000
AK,99705,64.81884,-147.53604,7,4.0,5269,3.6,581100,599900
AK,99501,61.20634,-149.87407,2,1.0,640,0.16,325500,325000
AK,99709,64.80424,-148.00414,3,3.0,2500,2.3,491100,500000
AK,99502,61.140408,-149.99579,4,6.0,5888,3.54,1652000,1650000
AK,99508,61.196014,-149.85617,4,2.0,2664,0.16,497200,495000
AK,99645,61.64502,-149.06934,2,1.0,1152,2.07,227700,230000
AK,99515,61.093506,-149.84534,4,3.0,1877,0.2,593900,594000
AK,99654,61.605354,-149.33017,4,3.0,2207,0.92,467600,469000
AK,99694,61.619663,-149.7639,2,2.0,966,0.49,255200,256500
AK,99623,61.60751,-149.6332,2,4.0,1776,3.19,413400,420000
AK,99504,61.20345,-149.76193,3,3.0,2003,0.1,489600,485000
AK,99654,61.609894,-149.41853,3,2.0,2016,1.26,272500,273500
AK,99623,61.425606,-149.9189,2,2.0,1280,5.0,397900,400000
AK,99501,61.211926,-149.86171,2,2.0,1008,0.16,198100,199900
AK,99709,64.857475,-147.75386,4,3.0,2416,0.2,170000,175000
AK,99654,61.53046,-149.48027,4,3.0,2440,0.78,662900,664800
AK,99515,61.12803,-149.93477,3,3.0,2480,0.29,495600,495000
AK,99654,61.58092,-149.37714,4,3.0,2128,0.68,498000,499999
AK,99686,61.13524,-146.35757,3,2.0,1600,0.25,389900,395000
AK,99712,65.04437,-147.45078,0,0.0,450,1.1,55000,59900
AK,99801,58.351337,-134.64395,3,2.0,2000,0.31873277,681900,699900
AK,99611,60.56132,-151.18457,3,2.0,1344,2.5,294000,297650
AK,99664,60.174675,-149.38719,3,3.0,1878,0.96,488200,495000
AK,99683,62.311275,-150.33907,0,0.0,512,5.0,153100,155000
AK,99654,61.60216,-149.33218,4,2.0,1888,1.07,294900,300000
AK,99645,61.599907,-149.17342,3,2.0,1573,0.46,388700,389000
AK,99623,61.48971,-149.67252,1,2.0,2951,9.42,191800,199000
AK,99701,64.8419,-147.69508,3,3.0,1698,0.4272268,412200,415000
AK,99664,60.13251,-149.37865,4,2.0,1430,0.41,365300,370000
AK,99705,64.82396,-147.50545,3,2.0,2080,1.0,344100,359900
AK,99705,64.82395,-147.50867,3,2.0,2430,0.9,409200,420000
AK,99654,61.63949,-149.46379,3,3.0,1710,0.92,428700,419500
AK,99701,64.83873,-147.69585,3,2.0,2842,0.16,314300,319900
AK,99840,59.457954,-135.3167,4,2.0,1760,0.17,345700,349000
AK,99623,61.521454,-149.6297,3,2.0,1332,0.49,323500,325000
AK,99801,58.390465,-134.57529,3,3.0,2082,0.17502296,642800,659000
AK,99502,61.14992,-149.95808,4,2.0,1969,0.19,479000,475000
AK,99515,61.13076,-149.93105,4,3.0,3490,0.55,1325200,1330000
AK,99516,61.075375,-149.69183,4,6.0,7200,1.08,1295600,1300000
AK,99516,61.06619,-149.7884,5,4.0,3863,1.38,884600,885700
AK,99712,64.90825,-147.64557,3,2.0,1512,2.0,237800,245000
AK,99835,57.056103,-135.31407,3,2.0,1104,0.22,471500,475000
AK,99801,58.306286,-134.42813,4,4.0,1902,0.1147842,511900,515000
AK,99611,60.663822,-151.29718,3,2.0,2214,1.14,337300,339000
AK,99709,64.809105,-147.9865,4,3.0,2304,1.9296,269700,275000
AK,99705,64.81963,-147.53424,3,2.0,1040,0.9,193700,199900
AK,99603,59.662106,-151.47371,3,2.0,1216,0.23,373500,380000
AK,99508,61.19839,-149.843,3,3.0,2275,0.06,463900,465000
AK,99623,61.50347,-149.67105,3,2.0,1428,0.92,393100,395000
AK,99611,60.578068,-151.27034,5,3.0,2568,0.3,426800,430000
AK,99611,60.526497,-151.1302,3,3.0,1992,0.96,295600,299900
AK,99504,61.19002,-149.74942,3,2.0,1858,0.11,405300,405000
AK,99507,61.138588,-149.80252,4,4.0,3238,0.18,553200,550000
AK,99516,61.115578,-149.79716,4,3.0,2620,0.55,565700,569900
AK,99654,61.54099,-149.53676,3,2.0,2107,0.92,438900,440000
AK,99712,64.89721,-147.5881,3,3.0,1664,0.9,391000,399900
AK,99737,64.02872,-145.68825,2,1.0,1580,0.8,236000,239000
AK,99705,64.809105,-147.52722,3,2.0,1544,1.0,390200,398900
AK,99669,60.48819,-151.15938,4,2.0,1832,0.77,417800,409000
AK,99507,61.126118,-149.8383,3,2.0,1447,0.07,373200,374000
AK,99603,59.669346,-151.46558,4,2.0,2304,1.0,644500,649000
AK,99508,61.21622,-149.79707,4,2.0,1840,0.25,230200,229900
AK,99801,58.30346,-134.4183,3,2.0,1160,0.07805326,248900,250000
AK,99654,61.557804,-149.2837,4,5.0,2542,0.49,713900,715000
AK,99840,59.46054,-135.31117,6,4.0,2526,0.11,649900,699000
AK,99654,61.55707,-149.28238,3,2.0,1997,0.47,598600,599000
AK,99516,61.11192,-149.79018,5,5.0,5086,1.38,1085900,1625000
AK,99669,60.491142,-151.08438,3,3.0,2076,0.25,394500,405000
AK,99577,61.300217,-149.49527,5,4.0,4072,0.24,714700,725000
